"fm","alpha","nominal","split_cov","split_cov_lo","split_cov_hi","mond_cov","mond_cov_lo","mond_cov_hi","mond_size"
"Prithvi-EO-2.0",0.05,0.95,0.824604966139955,0.813023041921598,0.836186890358312,0.957787810383747,0.94299462538212,0.972580995385374,10.1091422121896
"Prithvi-EO-2.0",0.1,0.9,0.711060948081264,0.688150729955772,0.733971166206756,0.910270880361174,0.896247857834745,0.924293902887603,8.70316027088036
"Prithvi-EO-2.0",0.2,0.8,0.566817155756208,0.537694950534455,0.595939360977961,0.816817155756208,0.793925161609836,0.839709149902579,6.44130925507901
"SSL4EO-S12",0.05,0.95,0.739164785553047,0.701936526002341,0.776393045103753,0.962866817155756,0.948007398623917,0.977726235687595,9.86297968397291
"SSL4EO-S12",0.1,0.9,0.633747178329571,0.610385980617122,0.65710837604202,0.913431151241535,0.89205307809139,0.93480922439168,8.05124153498871
"SSL4EO-S12",0.2,0.8,0.509706546275395,0.483369604474117,0.536043488076673,0.81038374717833,0.788341885598734,0.832425608757925,5.50711060948081
"Clay v1.5",0.05,0.95,0.79334085778781,0.76188515094268,0.824796564632941,0.95451467268623,0.943340547010901,0.965688798361559,10.0644469525959
"Clay v1.5",0.1,0.9,0.671331828442438,0.630008749487629,0.712654907397247,0.910158013544018,0.897195764118984,0.923120262969052,8.69717832957111
"Clay v1.5",0.2,0.8,0.51117381489842,0.474890665517128,0.547456964279712,0.80530474040632,0.779692734073181,0.83091674673946,6.21884875846501
